"","lon","lat","dp1","dp2","dp3","dp4","dp5"
"20492",-119.85,36.95,535248.694249225,191628.801089356,321530.571638627,808127.027534602,1161143.09456486
"20493",-119.75,36.95,531083.609790343,200533.930986911,329308.786326261,812135.623545267,1163673.515682
"20494",-119.65,36.95,527044.235219603,209439.035653858,337138.421547324,816213.030605565,1166256.84602368
"20495",-119.55,36.95,523133.486616008,218344.108966835,345015.967974628,820358.217530317,1168892.73125449
"20496",-119.45,36.95,519354.273590288,227249.145377437,352938.208841588,824570.156872363,1171580.8130433
"20497",-119.35,36.95,515709.491700736,236154.139803775,360902.192153105,828847.825662925,1174320.72926788
"20498",-119.25,36.95,512202.014417451,245059.087545648,368905.205724628,833190.206111704,1177112.11421817
"20499",-119.15,36.95,508834.684659228,253963.984217589,376944.754763374,837596.286267178,1179954.59879803
"20500",-119.05,36.95,505610.30593451,262868.825695496,385018.541729947,842065.060637655,1182847.81072519
"20501",-118.95,36.95,502531.63312543,271773.60807376,393124.448242629,846595.53077377,1185791.37472924
"20502",-118.85,36.95,499601.362961497,280678.327630565,401260.518809469,851186.705813198,1188784.91274757
"20503",-118.75,36.95,496822.124237373,289582.980799565,409424.946194841,855837.602988413,1191828.04411889
"20504",-118.65,36.95,494196.467836706,298487.564146652,417616.058247084,860547.248098435,1194920.38577442
"20505",-118.55,36.95,491726.856631309,307392.074350752,425832.306032052,865314.675945522,1198061.55242633
"20506",-118.45,36.95,489415.655331892,316296.508187852,434072.253134031,870138.930737847,1201251.15675359
"20507",-118.35,36.95,487265.120372595,325200.862517677,442334.566000458,875019.066459248,1204488.80958476
